Time,Adc,Vdc
1679353675.967137,73.5981612,0.13232
1679353678.8907502,73.6044646,0.50416
1679353681.8351047,0.632151,0.9773
1679353684.720152,0.3616836,1.4428
1679353687.612245,0.3621362,1.9154
1679353690.484367,0.36205919999999997,2.38
1679353693.3712924,0.6179398,2.8526
1679353696.25886,1.4341717999999999,3.326
1679353699.1493237,2.3114403999999995,3.7918
1679353702.0374155,3.1730861999999997,4.2646
1679353704.9018538,4.0266078,4.7295
1679353707.7936964,4.8877961999999995,5.2029
1679353711.4369159,5.6961998000000005,5.6681
1679353715.7037244,6.311292,6.1422
1679353719.9932718,6.78344775,6.6147
1679353724.2457569,7.2397675,7.0801
1679353728.5223851,7.70816725,7.5537
1679353732.7863598,8.17099125,8.0184
1679353737.0742285,8.6416425,8.4914
1679353741.3335047,9.10309025,8.9576
1679353745.5993721,9.569566,9.4301
1679353749.847289,10.04038525,9.9035
1679353754.1407766,10.507894499999999,10.368
1679353758.3370607,10.97557025,10.846
1679353762.6379762,11.444996750000001,11.309
1679353766.8971503,11.91192875,11.783
1679353771.1392648,12.38047475,12.257
1679353775.4063103,12.848993499999999,12.72
1679353779.7340417,13.317353999999998,13.194
1679353783.9285977,13.77420025,13.659
1679353788.2350805,14.248443499999999,14.132
1679353792.457828,14.712328999999999,14.598
1679353796.7566957,15.1852725,15.072
1679353800.9870956,15.647680999999999,15.545
1679353805.2963068,16.11338825,16.011
1679353809.5659504,16.581223,16.484
1679353813.826193,17.04079425,16.949
1679353818.067533,17.506623500000003,17.422
1679353822.3231988,17.976097,17.887
1679353826.623342,18.44865325,18.36
1679353830.877605,18.917501,18.834
1679353835.136859,19.3825195,19.299
1679353839.4067874,19.8500075,19.772
1679353843.6684496,20.31164225,20.236
1679353847.9373221,20.784969,20.711
1679353852.1735349,21.25904375,21.184
1679353856.455381,21.74032,21.652
1679353860.7108984,22.19741925,22.124
1679353864.9566894,22.661503250000003,22.591
1679353869.2332275,23.133181,23.065
1679353873.4637594,23.595867000000002,23.529
1679353877.7784839,24.066209999999998,24.004
1679353882.014064,24.53462175,24.477
1679353886.3164802,24.996375999999998,24.941
1679353890.5424564,25.4700445,25.414
1679353894.8583343,25.925405249999997,25.879
1679353899.0947473,26.402714000000003,26.353
1679353903.3779562,26.859791249999997,26.817
1679353907.6330583,27.34212175,27.291
