Time,Adc,Vdc
1679350642.4040148,27883.100586,0.11964367
1679350645.504457,27883.8855468,0.4912646
1679350648.5841222,5911.2233994,0.962384
1679350651.6441886,64.31422660000001,1.429284
1679350654.704404,282.59755579999995,1.900237
1679350657.7886884,601.1661252,2.365287
1679350660.8649406,901.6081297999999,2.83787
1679350664.72476,1190.5478026,3.311692
1679350668.9843466,1412.7669982500001,3.777222
1679350673.2645843,1593.43679775,4.250045
1679350677.525398,1767.6716005,4.714873
1679350681.7849667,1945.80166625,5.188118
1679350686.0649836,2123.201355,5.652914
1679350690.3253016,2302.567505,6.126424
1679350694.604876,2481.52484125,6.599924
1679350698.8648748,2655.54565425,7.065128
1679350703.1255622,2835.2811892499994,7.538539
1679350707.3852007,3010.5341797500005,8.00414
1679350711.6652362,3189.98834225,8.476379
1679350715.9269302,3365.14141825,8.941554
1679350720.2058644,3543.281372,9.414617
1679350724.46546,3721.18292225,9.888343
1679350728.7259166,3899.3963009999998,10.353292
1679350733.0062075,4079.3258057499997,10.826216
1679350737.2661035,4252.748413249999,11.291111
1679350741.5261881,4431.19763175,11.764225
1679350745.7863638,4609.6806639999995,12.26657
1679350750.0658739,4785.0899660000005,12.70617
1679350754.3274832,4963.010742,13.17817
1679350758.586109,5139.035888750001,13.64125
1679350762.8474813,5318.05578625,14.11472
1679350767.1272447,5494.805785999999,14.57988
1679350771.3871865,5672.98156725,15.05396
1679350775.6463132,5850.683349749999,15.52808
1679350779.9066908,6028.501465,15.99231
1679350784.1867075,6207.221802,16.46571
1679350788.446464,6382.503784249999,16.92965
1679350792.7074714,6559.62316875,17.4038
1679350796.9899216,6735.11621125,17.86939
1679350801.2469275,6913.423462,18.34203
1679350805.5075727,7093.88317875,18.81572
1679350809.7869291,7269.175292999999,19.28027
1679350814.0470665,7448.62146,19.75392
1679350818.307319,7624.17626925,20.21847
1679350822.5675256,7804.69665525,20.69183
1679350826.8479044,7983.12719725,21.16577
1679350831.1079843,8159.41870125,21.62986
1679350835.368562,8336.818359500001,22.1034
1679350839.648093,8513.95971675,22.56838
1679350843.9085348,8690.5214845,23.04178
1679350848.1686833,8866.0913085,23.50697
1679350852.4280472,9048.89892575,23.9807
1679350856.7080104,9229.03076175,24.45385
1679350860.9686122,9404.3725585,24.91911
1679350865.227888,9582.327636999999,25.39233
1679350869.5082817,9757.7751465,25.85674
1679350873.7688808,9934.928955,26.33053
1679350878.0282757,10112.08105475,26.79465
1679350882.2888994,10289.4123535,27.26827
1679350886.5694103,10470.07275375,27.74134
1679350890.8286858,10643.887451,28.20643
1679350895.108878,10827.85034175,28.68001
1679350899.3684096,11001.692871,29.14492
1679350903.6496391,11182.137207,29.61878
1679350907.908637,11355.566406000002,30.08247
1679350912.1692336,11535.28344725,30.5558
1679350916.4489787,11717.473388499999,31.02949
1679350920.7087443,11889.527832,31.49439
1679350924.9900165,12074.51171875,31.96808
1679350929.2497263,12245.101806499999,32.4336
1679350933.5092714,12429.914306499999,32.9075
1679350937.7893555,12609.314209,33.38147
1679350942.049869,12783.30078125,33.84606
1679350946.3307302,12963.6850585,34.31828
1679350950.5899973,13136.01953125,34.78343
1679350954.850076,13319.8688965,35.2573
1679350959.1299477,13491.0444335,35.72178
1679350963.389633,13675.316650249999,36.19561
1679350967.6704147,13850.41113275,36.66822
1679350971.9306543,14030.180908,37.13331
1679350976.1900396,14210.7163085,37.60649
1679350980.4704428,14384.51953125,38.07201
1679350984.7311316,14566.65600575,38.54376
1679350988.990426,14736.970947,39.01071
1679350993.2701411,14924.40673825,39.48321
1679350997.5301335,15096.943847500002,39.95658
1679351001.7902877,15278.357422000001,40.42127
1679351006.0703614,15456.38745125,40.89521
1679351010.3304267,15631.479004,41.36026
1679351014.6109495,15815.30615225,41.83352
1679351018.871719,15986.16235375,42.30735
1679351023.1522138,16170.39013675,42.77258
1679351027.4112556,16340.41357425,43.24479
1679351031.6707978,16526.42041025,43.7102
1679351035.9511294,16707.8188475,44.18389
1679351040.2108011,16879.4907225,44.64847
1679351044.4712925,17063.79394525,45.12162
1679351048.751481,17235.94921875,45.59538
1679351053.0117328,17419.78271475,46.06065
1679351057.27119,17590.2871095,46.53387
1679351061.5520284,17774.673828,46.99842
1679351065.8121476,17947.91748025,47.4716
1679351070.0724084,18127.0058595,47.93683
1679351074.3516529,18309.7836915,48.40984
1679351078.611341,18482.5214845,48.8836
1679351082.8718178,18667.42334,49.34886
1679351087.1318374,18839.428711,49.82305
1679351091.3922498,19020.901367,50.28756
1679351095.6721458,19198.8808595,50.76114
1679351099.9328346,19375.88574225,51.2344
1679351104.1916301,19557.5717775,51.69877
1679351108.472589,19732.1796875,52.17224
1679351112.7327883,19910.4995115,52.63726
1679351116.992417,20083.30175775,53.11109
1679351121.2728481,20269.315918,53.57599
1679351125.5331454,20441.04101575,54.04861
1679351129.792927,20621.04541,54.52348
1679351134.0525608,20800.138672,54.98749
1679351138.3330412,20976.61669925,55.46085
1679351142.5932224,21160.635254,55.92511
1679351146.85399,21335.2250975,56.39862
1679351151.113362,21510.253906500002,56.86514
1679351155.3937385,21685.31054675,57.33704
1679351159.653115,21870.82226575,57.81083
1679351163.9138994,22047.954589999998,58.27603
1679351168.1734183,22227.5771485,58.74896
1679351172.4534056,22402.2075195,59.21458
1679351176.7145202,22576.61523425,59.68845
1679351180.9738986,22761.95605475,60.15217
1679351185.2540715,22937.70556625,60.62629
1679351189.4943566,23110.5371095,61.0993
1679351193.7747602,23285.73486325,61.5641
