time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679539768.4966598,289500,1.059999,-1950000.0,0.075101,3.119951,0.85877,0.011755,0.1744669,-3.02021,0.3272031,0.000731
1679539770.9568763,291000,1.059999,-2000000.0,0.072314,3.129667,0.787694,0.011755,0.1744666,-3.020062,0.2451065,0.000597
1679539773.41681,292500,1.069999,-2050000.0,0.075101,3.132758,0.75084,0.011984,0.1744626,-3.019846,0.2132664,0.000579
1679539775.8966286,294000,1.069999,-2100000.0,0.072314,3.1279,0.700824,0.011984,0.1744569,-3.019821,0.1859801,0.000503
1679539778.3570714,295500,1.079999,-2150000.0,0.072314,3.118626,0.661338,0.011984,0.1744576,-3.019875,0.1623315,0.000478
1679539780.8171048,297000,1.079999,-2200000.0,0.07603,3.127459,0.621851,0.011755,0.1744566,-3.019795,0.142179,0.000496
1679539783.276788,298500,1.089999,-2250000.0,0.07603,3.126134,0.592895,0.011755,0.1744519,-3.01964,0.124803,0.000391
1679539786.2571352,300000,1.089999,-2300000.0,0.073243,3.112884,0.561305,0.012442,0.1744533,-3.019774,0.10644284,0.000438
1679539788.7183535,301500,1.099999,-2350000.0,0.073243,3.128342,0.534981,0.011984,0.1744469,-3.01928,0.09434073,0.000387
1679539791.1784687,303000,1.099999,-2400000.0,0.075101,3.128783,0.500759,0.011526,0.1744448,-3.01919,0.0834951,0.000315
1679539795.4575846,304500,1.109999,-2450000.0,0.074172,3.142475,0.487597,0.011984,2.629421,-0.009959,18.34501,0.004229
1679539797.9177456,306000,1.109999,-2500000.0,0.071385,3.12525,0.450743,0.011755,2.627694,-0.007282,20.66001,0.001372
1679539800.3776073,307500,1.119999,-2550000.0,0.072314,3.1332,0.440214,0.011526,2.627812,-0.013043,21.42744,0.00088
1679539802.8372903,309000,1.119999,-2600000.0,0.073243,3.120834,0.429684,0.011984,2.626457,-0.019554,25.75897,0.000771
