time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679545364.1960967,1500,0.1,50000.0,20.407904,0.126447,41.427151,0.025492,20.40531,-0.209475,39.72889,0.098962
1679545366.7562513,3000,0.1,50000.0,20.41069,0.169287,42.456429,0.055257,20.40355,-0.257604,40.0093,0.121446
1679545369.3165913,3000,0.1,50000.0,20.41069,0.211244,42.435371,0.038543,20.39715,-0.399021,40.01184,0.186201
1679545371.7770839,3000,0.1,50000.0,20.409761,0.073891,42.538036,0.05457,20.37958,-0.407913,40.01944,0.190907
1679545374.3362966,6000,0.12,50000.0,20.399544,0.245251,42.622272,0.117992,20.37153,-0.46514,40.02302,0.217747
1679545376.7999825,9000,0.14,50000.0,20.354952,0.204619,42.645966,0.07884,20.34927,-0.644176,40.03277,0.299261
1679545379.3563592,12000,0.16,50000.0,20.359596,0.471376,42.04314,0.178209,20.33865,-0.731734,40.03754,0.340898
1679545381.8163438,15000,0.18,50000.0,20.308502,0.345947,41.811485,0.081359,20.32895,-0.943245,40.04245,0.436207
1679545384.257426,18000,0.2,50000.0,20.281561,1.202306,41.940475,0.215758,20.31242,-1.056258,40.04879,0.489285
1679545386.6982508,21000,0.22,50000.0,20.224894,0.465634,41.12442,0.297268,20.29836,-1.166876,40.05506,0.539804
1679545389.1364164,24000,0.24,50000.0,20.215603,1.108235,41.385033,0.343518,20.2692,-1.294183,40.06757,0.595286
1679545391.596985,27000,0.26,50000.0,20.225822,1.126343,41.827278,0.328635,20.25091,-1.443619,40.07564,0.664534
1679545394.276683,30000,0.28,50000.0,20.203526,1.321993,41.748306,0.745801,20.21978,-1.694093,40.08893,0.774672
1679545397.256494,33000,0.3,50000.0,20.158936,1.63159,42.361664,0.745114,20.19588,-1.889228,40.0994,0.863881
1679545400.2603643,36000,0.32,50000.0,20.159864,1.862573,42.124744,0.859594,20.16611,-2.136405,40.11194,0.971105
1679545403.236472,39000,0.34,50000.0,20.167295,1.763202,42.566994,1.0146,20.13341,-2.400397,40.12599,1.089778
1679545406.2168021,42000,0.36,50000.0,20.040024,2.536089,41.969429,1.000175,20.10618,-2.621942,40.13732,1.18442
1679545409.1568573,45000,0.38,50000.0,19.948053,2.738806,41.916782,1.007502,20.06267,-2.976519,40.15577,1.340899
1679545412.1571906,48000,0.4,50000.0,19.820782,2.919,41.266571,1.213795,19.96363,-3.139341,40.16323,1.403872
1679545415.1370547,51000,0.42,50000.0,19.714878,3.084619,41.258675,1.010936,19.91651,-3.610553,40.18742,1.607633
1679545418.1170175,54000,0.44,50000.0,19.630339,3.445446,40.99543,1.474122,19.90327,-3.741585,40.19383,1.662485
1679545421.096874,57000,0.46,50000.0,19.742748,3.465321,41.158642,1.750706,19.84537,-4.317505,40.22301,1.907267
1679545424.0775957,60000,0.48,50000.0,19.713949,4.376003,41.303425,1.982871,19.83568,-4.415483,40.22774,1.948043
1679545427.0372021,63000,0.5,50000.0,19.741817,4.475816,41.542976,2.035761,19.76748,-5.090869,40.26161,2.230099
1679545430.0182037,66000,0.52,50000.0,19.687937,5.268578,41.561405,2.269758,19.759,-5.17241,40.26555,2.264009
1679545432.9975355,69000,0.54,50000.0,19.678648,5.39754,42.36956,2.306621,19.68322,-5.924747,40.30264,2.572865
1679545435.9609637,72000,0.56,50000.0,19.429678,6.058248,41.129684,2.316237,19.67441,-6.010424,40.3068,2.608492
1679545438.957657,75000,0.58,50000.0,19.346069,6.171752,40.803265,2.438502,19.32995,-6.649574,40.33285,2.823954
1679545441.897411,78000,0.6,50000.0,18.89365,6.703498,40.697968,2.600377,19.29822,-6.89277,40.34457,2.921722
1679545444.897743,81000,0.62,50000.0,18.845343,6.767096,40.597935,2.76248,19.24276,-7.31805,40.36407,3.083556
1679545447.8775866,84000,0.64,50000.0,18.74687,7.136315,40.832222,3.018,19.1664,-7.90573,40.39202,3.31291
1679545450.858057,87000,0.66,50000.0,18.684628,7.7745,40.824326,3.252684,19.16386,-7.915811,40.3926,3.316466
1679545453.838127,90000,0.68,50000.0,18.926165,8.164035,40.71376,3.448215,18.07985,-9.101981,40.42661,3.597349
1679545456.8176212,93000,0.7,50000.0,17.826241,9.44482,40.603199,3.725715,16.43028,-9.10446,40.38722,3.271711
1679545459.7584405,96000,0.72,50000.0,16.178213,9.524758,40.324162,3.311069,14.88087,-9.10668,40.3502,2.964398
1679545462.7579925,99000,0.74,50000.0,14.617511,9.532708,40.176746,2.752406,13.42162,-9.10838,40.31515,2.673232
1679545465.7399611,102000,0.76,50000.0,13.135772,9.521225,40.097775,2.402097,12.0422,-9.111587,40.28186,2.396397
1679545469.3579736,105000,0.78,50000.0,11.566708,9.180272,40.250454,2.214121,10.657732,-9.106384,40.25039,2.133056
1679545472.3979778,108000,0.8,50000.0,10.216885,8.932064,40.255718,2.019047,20.43003,-0.121452,40.00392,0.0563
1679545474.837978,111000,0.1,100000.0,20.422768,0.026634,45.05727,0.012671,20.41246,-0.142436,40.00514,0.065957
1679545477.61824,114000,0.12,100000.0,20.41069,0.101714,42.898678,0.030987,20.40967,-0.155479,40.00579,0.071507
1679545480.600361,117000,0.14,100000.0,20.393969,0.131305,46.494579,0.047702,20.40187,-0.215207,40.00865,0.095957
1679545483.5796597,120000,0.16,100000.0,20.404188,0.081399,45.465298,0.035796,20.38305,-0.365901,40.01736,0.168952
1679545486.5585997,123000,0.18,100000.0,20.362383,0.251875,43.709469,0.098302,20.37829,-0.404288,40.01994,0.189242
1679545489.5382254,126000,0.2,100000.0,20.349379,0.381721,43.472549,0.149131,20.3764,-0.418776,40.02055,0.195973
1679545492.5182347,129000,0.22,100000.0,20.340088,0.512007,42.888149,0.239799,20.36856,-0.481549,40.02374,0.222515
1679545495.497915,132000,0.24,100000.0,20.362383,0.326073,43.591007,0.071055,20.33904,-0.719891,40.03679,0.333777
1679545498.4785426,135000,0.26,100000.0,20.331728,0.254967,44.354412,0.158289,20.33074,-0.787845,40.04087,0.368353
1679545501.4183724,138000,0.28,100000.0,20.289923,0.805263,43.098743,0.340083,20.32899,-0.803205,40.0418,0.375558
1679545504.418139,141000,0.3,100000.0,20.286207,0.732391,43.701569,0.354508,20.32176,-0.859574,40.04471,0.399784
1679545507.3385592,144000,0.32,100000.0,20.279703,0.463867,43.375149,0.190573,20.28251,-1.176258,40.06162,0.543359
1679545510.3587108,147000,0.34,100000.0,20.222107,0.425886,44.904591,0.200189,20.26798,-1.295707,40.0685,0.602339
1679545513.3186567,150000,0.36,100000.0,20.211887,1.143567,43.920063,0.578431,20.26562,-1.312922,40.06958,0.610442
1679545516.3187244,153000,0.38,100000.0,20.207243,1.038013,42.638069,0.370306,20.26014,-1.357636,40.07184,0.629754
1679545519.2986174,156000,0.4,100000.0,20.184017,1.430639,44.049049,0.463951,20.21617,-1.713921,40.09026,0.786711
1679545522.2788672,159000,0.42,100000.0,20.165438,0.977065,43.451488,0.42892,20.19012,-1.92577,40.10241,0.887965
1679545525.2387586,162000,0.44,100000.0,20.094835,2.096206,41.937843,0.831203,20.18751,-1.947687,40.10348,0.898425
1679545528.2390609,165000,0.46,100000.0,20.125492,1.746861,42.061565,0.753585,20.18379,-1.977892,40.10513,0.911568
1679545531.179661,168000,0.48,100000.0,20.139425,1.700487,42.753895,0.696803,20.145,-2.292187,40.12101,1.045802
1679545534.1593664,171000,0.5,100000.0,20.023302,2.270658,42.656494,0.85387,20.09749,-2.677908,40.14208,1.223555
1679545537.1593611,174000,0.52,100000.0,19.999149,2.642527,42.337971,1.079624,20.09355,-2.709496,40.14395,1.238403
1679545540.0988388,177000,0.54,100000.0,19.951771,2.562588,41.685127,1.192959,20.09162,-2.725202,40.14466,1.245243
1679545543.0989182,180000,0.56,100000.0,20.008438,2.778997,42.548565,1.178306,20.0656,-2.9365,40.15516,1.333466
1679545546.0992873,183000,0.58,100000.0,19.984285,2.710099,43.109272,1.11145,19.9203,-3.536708,40.18595,1.594063
1679545549.0591366,186000,0.6,100000.0,19.783623,3.219764,43.269852,1.364222,19.91357,-3.601574,40.18953,1.624107
1679545552.0401254,189000,0.62,100000.0,19.779907,3.715736,42.382721,1.52083,19.91375,-3.598465,40.18946,1.622879
1679545555.0194848,192000,0.64,100000.0,19.758541,3.43838,41.732513,1.504345,19.91325,-3.602525,40.1896,1.624693
1679545558.0011122,195000,0.66,100000.0,19.765972,3.704695,42.274792,1.579673,19.69084,-5.818082,40.30637,2.604745
1679545560.979426,198000,0.68,100000.0,19.459406,5.760576,41.735146,2.514059,18.35056,-9.109616,40.44829,3.776699
1679545563.9403594,201000,0.7,100000.0,17.97488,8.666191,41.466637,3.583073,16.68551,-9.112607,40.40658,3.431699
1679545566.9211469,204000,0.72,100000.0,16.295265,9.139198,41.671967,3.326867,15.11677,-9.11456,40.36704,3.104494
1679545569.8998494,207000,0.74,100000.0,14.725273,9.122416,41.474533,2.923668,13.6416,-9.115515,40.32977,2.795113
1679545572.8591151,210000,0.76,100000.0,13.22867,9.18248,41.095463,2.62396,12.24708,-9.119035,40.29454,2.501391
1679545576.4594169,213000,0.78,100000.0,11.841688,9.272135,41.400826,2.376683,10.841421,-9.113198,40.26082,2.22083
1679545579.459252,216000,0.8,100000.0,10.547606,9.419646,41.492962,2.107884,20.43923,-0.040516,39.99959,0.018545
1679545581.8998072,219000,0.1,150000.0,20.419981,0.027959,43.259323,0.0129,20.42234,-0.054388,40.00002,0.022484
1679545584.7418525,222000,0.12,150000.0,20.416265,0.027076,46.470886,0.0129,20.41729,-0.085465,40.0012,0.033339
1679545587.7600567,225000,0.14,150000.0,20.432058,0.028401,45.144142,0.012671,20.40574,-0.176662,40.00575,0.07146
1679545590.7411973,228000,0.16,150000.0,20.393969,0.270425,46.768353,0.082732,20.39379,-0.273613,40.01213,0.124571
1679545593.7000813,231000,0.18,150000.0,20.394897,0.026634,47.934517,0.051594,20.39085,-0.296824,40.01356,0.137898
1679545596.6797912,234000,0.2,150000.0,20.380964,0.247017,44.159611,0.107689,20.38978,-0.304855,40.01406,0.142033
1679545599.6600666,237000,0.22,150000.0,20.364243,0.251875,44.193832,0.124403,20.38878,-0.312623,40.01453,0.145436
1679545602.6404521,240000,0.24,150000.0,20.385609,0.286324,44.572903,0.102881,20.38548,-0.338475,40.01575,0.156063
1679545605.620428,243000,0.26,150000.0,20.368887,0.265125,47.984535,0.065331,20.37264,-0.44296,40.02084,0.198844
1679545608.580444,246000,0.28,150000.0,20.359596,0.35478,45.68642,0.110895,20.34291,-0.68323,40.03453,0.315996
1679545611.5600815,249000,0.3,150000.0,20.312218,0.30929,43.741055,0.015189,20.33625,-0.738076,40.03815,0.345352
1679545614.5406177,252000,0.32,150000.0,20.29178,0.7081,43.35672,0.334359,20.33475,-0.751721,40.03904,0.352415
1679545617.523683,255000,0.34,150000.0,20.311289,0.754473,43.067154,0.338939,20.33385,-0.757766,40.03926,0.355124
1679545620.5002892,258000,0.36,150000.0,20.301071,0.792897,43.456753,0.3584,20.33135,-0.778452,40.04026,0.363954
1679545623.500634,261000,0.38,150000.0,20.327082,0.708542,44.486034,0.29681,20.31997,-0.870427,40.04489,0.402206
1679545626.4804194,264000,0.4,150000.0,20.281561,0.139255,44.180672,0.120969,20.27256,-1.254434,40.06571,0.579174
1679545629.4606318,267000,0.42,150000.0,20.197023,0.302665,44.907223,0.166074,20.25925,-1.363221,40.07234,0.63516
1679545632.4402373,270000,0.44,150000.0,20.233253,1.06937,44.667671,0.454334,20.25635,-1.387145,40.07384,0.64722
1679545635.380744,273000,0.46,150000.0,20.226751,1.040221,44.293865,0.451816,20.25585,-1.391818,40.07406,0.649439
1679545638.3808174,276000,0.48,150000.0,20.204456,1.123251,44.486034,0.44426,20.25417,-1.404458,40.07474,0.654914
1679545641.360682,279000,0.5,150000.0,20.215603,1.061862,44.422855,0.429607,20.24562,-1.474804,40.07822,0.684233
1679545644.3408432,282000,0.52,150000.0,20.168224,0.864002,46.749924,0.247584,20.18772,-1.944156,40.10277,0.89198
1679545647.3204863,285000,0.54,150000.0,20.101337,1.063628,45.654835,0.332528,20.15992,-2.170868,40.11596,1.00322
1679545650.2606435,288000,0.56,150000.0,20.050243,1.651464,46.491947,0.76343,20.15484,-2.213694,40.11836,1.024346
1679545653.2608898,291000,0.58,150000.0,20.051172,2.095323,44.301765,0.801896,20.15441,-2.216155,40.11868,1.02562
1679545656.2409341,294000,0.6,150000.0,20.077185,1.923962,44.217525,0.790219,20.15466,-2.214598,40.1185,1.024951
1679545659.220859,297000,0.62,150000.0,20.085545,1.942512,43.927959,0.735726,20.15502,-2.212033,40.11832,1.023937
1679545662.2014403,300000,0.64,150000.0,20.086473,2.039675,44.314926,0.71741,20.14497,-2.292594,40.12219,1.056262
1679545665.1814091,303000,0.66,150000.0,20.030735,2.003459,45.441605,0.544545,19.70086,-5.719895,40.30494,2.594937
1679545668.1613293,306000,0.68,150000.0,19.451973,5.767642,43.169819,2.345773,18.49852,-9.115241,40.45489,3.829093
1679545671.1011555,309000,0.7,150000.0,18.081713,8.796036,43.488342,3.77311,16.62343,-9.118235,40.40701,3.435714
1679545674.101077,312000,0.72,150000.0,16.202366,9.022161,43.980606,3.319998,15.14919,-9.119813,40.36934,3.124461
1679545677.0810752,315000,0.74,150000.0,14.775438,9.102099,43.738422,2.854751,13.75968,-9.120991,40.33386,2.829921
1679545680.0625517,318000,0.76,150000.0,13.40332,9.303934,43.880573,2.664943,12.18075,-9.123928,40.2935,2.493777
1679545683.6814876,321000,0.78,150000.0,11.784091,9.284943,44.133289,2.369814,10.857307,-9.11643,40.26168,2.227492
1679545686.7013788,324000,0.8,150000.0,10.544818,9.307025,43.36462,2.126658,20.44277,-0.011447,38.85585,0.0008
1679545689.1413665,327000,0.1,200000.0,20.421839,0.025309,40.376812,0.012671,20.42384,-0.039169,39.99829,0.008291
1679545691.941515,330000,0.12,200000.0,20.424625,0.027076,41.700924,0.012671,20.41604,-0.09288,40.00052,0.028096
1679545694.9265196,333000,0.14,200000.0,20.417194,0.027959,43.701569,0.0129,20.40538,-0.177353,40.00564,0.070359
1679545697.8815992,336000,0.16,200000.0,20.392111,0.026634,46.147099,0.0129,20.3993,-0.227371,40.00919,0.101439
1679545700.8639722,339000,0.18,200000.0,20.364243,0.026634,50.867043,0.012671,20.3969,-0.245657,40.01059,0.112854
1679545703.8618195,342000,0.2,200000.0,20.371674,0.08979,46.291882,0.052968,20.3959,-0.253302,40.01113,0.117065
1679545706.9219058,345000,0.22,200000.0,20.385609,0.166637,45.054638,0.073345,20.39561,-0.255749,40.0113,0.118191
1679545709.9021206,348000,0.24,200000.0,20.387466,0.208152,45.689053,0.033506,20.39493,-0.260959,40.01152,0.120519
1679545713.1214836,351000,0.26,200000.0,20.431129,0.169729,45.394222,0.042664,20.39286,-0.277003,40.01224,0.126888
1679545715.842049,354000,0.28,200000.0,20.37446,0.103923,54.025959,0.012671,20.38638,-0.328462,40.0146,0.146819
1679545718.8025272,357000,0.3,200000.0,20.357738,0.026634,52.580757,0.012671,20.36555,-0.501603,40.02302,0.21997
1679545721.7820334,360000,0.32,200000.0,20.339159,0.231118,51.843678,0.034422,20.3424,-0.684988,40.03449,0.3145
1679545724.7427936,363000,0.34,200000.0,20.312218,0.035467,45.704849,0.013129,20.33543,-0.744997,40.03833,0.348096
1679545727.7218544,366000,0.36,200000.0,20.284349,0.742107,43.949017,0.331383,20.3331,-0.76342,40.03965,0.357998
1679545730.6820803,369000,0.38,200000.0,20.306644,0.845453,44.125389,0.342373,20.33256,-0.767866,40.0398,0.36025
1679545733.6621819,372000,0.4,200000.0,20.292709,0.884318,43.877941,0.385647,20.33235,-0.769552,40.03998,0.360978
1679545736.6222124,375000,0.42,200000.0,20.29178,0.981923,43.798969,0.37397,20.33099,-0.779659,40.04048,0.365319
1679545739.7029648,378000,0.44,200000.0,20.29178,0.856494,44.030624,0.357942,20.32595,-0.821404,40.04266,0.382456
1679545742.6628006,381000,0.46,200000.0,20.31036,0.906401,47.810795,0.302305,20.30748,-0.96968,40.04976,0.443416
1679545745.6224518,384000,0.48,200000.0,20.275988,0.620212,52.636036,0.190802,20.26111,-1.346297,40.0704,0.61907
1679545748.602403,387000,0.5,200000.0,20.192379,0.288091,54.244453,0.232243,20.24419,-1.485768,40.07908,0.692083
1679545751.5828288,390000,0.52,200000.0,20.184946,0.979273,47.692333,0.47952,20.23936,-1.525513,40.08159,0.712713
1679545754.5426495,393000,0.54,200000.0,20.180302,1.274737,45.796986,0.598579,20.23857,-1.532748,40.08198,0.716366
1679545757.5226204,396000,0.56,200000.0,20.1738,1.225714,45.818043,0.595603,20.23878,-1.531707,40.08191,0.715943
1679545760.4826002,399000,0.58,200000.0,20.161722,1.23543,46.026005,0.596061,20.23875,-1.530803,40.08191,0.715591
1679545763.4427023,402000,0.6,200000.0,20.185875,1.309186,46.026005,0.60499,20.23918,-1.528306,40.0818,0.714603
1679545766.4227154,405000,0.62,200000.0,20.186804,1.253096,45.968094,0.605677,20.23843,-1.534741,40.08209,0.717108
1679545769.4027274,408000,0.64,200000.0,20.168224,1.304327,46.597244,0.608654,20.22386,-1.651116,40.08743,0.762728
1679545772.4625041,411000,0.66,200000.0,20.179373,1.123693,44.399162,0.444718,19.73059,-5.428026,40.29042,2.474338
1679545775.322474,414000,0.68,200000.0,19.517931,5.385173,52.980885,2.325396,18.49193,-9.117003,40.45449,3.826617
1679545778.4028451,417000,0.7,200000.0,18.114227,8.913515,53.731129,3.662751,16.81714,-9.11737,40.41159,3.473506
1679545781.362969,420000,0.72,200000.0,16.464342,9.208979,57.211201,3.271458,15.24283,-9.118365,40.37127,3.140204
1679545784.343342,423000,0.74,200000.0,14.940799,9.118441,56.597843,2.829108,13.76147,-9.12,40.33336,2.825562
1679545787.302979,426000,0.76,200000.0,13.393102,9.17718,50.917061,2.65693,12.36638,-9.124137,40.29777,2.528292
1679545790.283693,429000,0.78,200000.0,11.990327,9.092383,43.999035,2.370959,11.03834,-9.125823,40.26365,2.244527
1679545793.243066,432000,0.8,200000.0,10.636788,9.077367,40.779572,1.986993,20.42348,-0.027372,39.99844,0.009059
1679545796.222977,435000,0.1,250000.0,20.442276,0.0443,43.451488,0.012671,20.42323,-0.028767,39.99847,0.009754
1679545799.1835344,438000,0.12,250000.0,20.425554,0.042975,43.490974,0.012442,20.42295,-0.031206,39.99862,0.010681
1679545802.1635165,441000,0.14,250000.0,20.459929,0.039,43.327766,0.013358,20.42212,-0.038207,39.99898,0.013136
1679545805.1230626,444000,0.16,250000.0,20.418123,0.027076,44.80719,0.012213,20.42016,-0.053188,39.99951,0.018103
1679545808.1038418,447000,0.18,250000.0,20.408833,0.025751,45.531109,0.012671,20.41432,-0.099394,40.00138,0.033433
1679545811.0638871,450000,0.2,250000.0,20.45714,0.025751,49.308647,0.012442,20.40488,-0.175368,40.00471,0.062445
1679545814.1432652,453000,0.22,250000.0,20.400473,0.027517,60.846588,0.011526,20.39103,-0.287679,40.01127,0.117206
1679545817.1031587,456000,0.24,250000.0,20.397686,0.148529,58.048313,0.068766,20.38223,-0.360799,40.01636,0.160759
1679545820.0835216,459000,0.26,250000.0,20.361454,0.028401,63.347397,0.011755,20.37768,-0.399042,40.01926,0.184401
1679545823.0436726,462000,0.28,250000.0,20.35681,0.329606,50.064152,0.074948,20.37629,-0.409888,40.01998,0.190813
1679545826.0237064,465000,0.3,250000.0,20.373531,0.406895,43.914795,0.081588,20.3759,-0.413408,40.02019,0.19266
1679545828.9843483,468000,0.32,250000.0,20.367029,0.40557,44.454445,0.111352,20.37586,-0.414427,40.02023,0.193127
1679545831.9641223,471000,0.34,250000.0,20.335443,0.331372,43.404106,0.102652,20.37568,-0.416276,40.02026,0.193992
1679545834.9262748,474000,0.36,250000.0,20.373531,0.407336,44.141186,0.086396,20.37436,-0.42702,40.02077,0.198417
1679545837.903656,477000,0.38,250000.0,20.376318,0.408661,44.478138,0.107689,20.37092,-0.453931,40.02209,0.209007
1679545840.8640616,480000,0.4,250000.0,20.330797,0.283674,56.895309,0.049991,20.36233,-0.521863,40.02525,0.235408
1679545843.8441405,483000,0.42,250000.0,20.367958,0.040767,57.68504,0.015189,20.34008,-0.702733,40.03417,0.310811
1679545846.8038938,486000,0.44,250000.0,20.292709,0.184303,60.127934,0.109063,20.30344,-1.002605,40.05191,0.461236
1679545849.7840836,489000,0.46,250000.0,20.275059,0.185186,59.543533,0.061439,20.29457,-1.076569,40.05689,0.50245
1679545852.7451444,492000,0.48,250000.0,20.257408,1.016813,59.409279,0.425486,20.29117,-1.103883,40.0585,0.517417
1679545855.8242652,495000,0.5,250000.0,20.236042,1.237638,46.094448,0.510659,20.28999,-1.113979,40.05926,0.522675
1679545858.7840207,498000,0.52,250000.0,20.245331,1.261929,45.886486,0.537905,20.28991,-1.115878,40.05929,0.523641
1679545861.7645338,501000,0.54,250000.0,20.257408,1.231897,45.731174,0.525999,20.29016,-1.114311,40.05915,0.522899
1679545864.7238946,504000,0.56,250000.0,20.244402,1.231455,45.570595,0.528975,20.29042,-1.112192,40.05911,0.521976
1679545867.7040415,507000,0.58,250000.0,20.284349,1.210256,45.531109,0.562175,20.29059,-1.11087,40.05911,0.521389
1679545870.6642783,510000,0.6,250000.0,20.275059,1.144892,45.675892,0.538363,20.29067,-1.109601,40.05897,0.521002
1679545873.6439877,513000,0.62,250000.0,20.231396,1.333918,45.694321,0.512261,20.28576,-1.149228,40.0608,0.535897
1679545876.6077945,516000,0.64,250000.0,20.286207,1.23808,47.018433,0.490052,20.2575,-1.37648,40.07123,0.624533
1679545879.5843835,519000,0.66,250000.0,20.194237,0.957632,79.771126,0.319935,19.70036,-5.734141,40.30601,2.605954
1679545882.5448124,522000,0.68,250000.0,19.477985,5.586565,58.951237,2.309826,18.54034,-9.125899,40.45503,3.829444
1679545885.5248127,525000,0.7,250000.0,18.20434,8.434325,58.72485,3.464472,16.9637,-9.125099,40.4145,3.49595
1679545888.484794,528000,0.72,250000.0,16.571175,8.780579,57.885101,3.060357,15.01669,-9.124501,40.3645,3.083465
1679545891.4449444,531000,0.74,250000.0,14.671391,9.26021,57.632389,2.554127,13.63946,-9.123647,40.32923,2.790797
1679545894.425066,534000,0.76,250000.0,13.185937,9.161722,57.211201,2.412629,12.2927,-9.124209,40.29494,2.503882
1679545897.5050023,537000,0.78,250000.0,11.905788,9.049102,55.223717,2.133298,11.09287,-9.121315,40.26408,2.247007
1679545900.4645178,540000,0.8,250000.0,10.712965,9.20942,55.676495,1.843435,20.41915,-0.056082,37.09076,0.00076
1679545903.4452496,543000,0.1,300000.0,20.38468,0.025751,46.778881,0.011984,20.41576,-0.084049,39.99905,0.013867
1679545906.4047499,546000,0.12,300000.0,20.403259,0.027076,62.899883,0.011526,20.41225,-0.113738,40.00113,0.031177
1679545909.3643894,549000,0.14,300000.0,20.431129,0.026634,59.454033,0.012213,20.4077,-0.153036,40.00439,0.05852
1679545912.3449254,552000,0.16,300000.0,20.409761,0.026192,53.978577,0.011984,20.40488,-0.176413,40.00639,0.075957
1679545915.3048573,555000,0.18,300000.0,20.403259,0.026634,55.347439,0.011755,20.40395,-0.185428,40.00708,0.082311
1679545918.2850018,558000,0.2,300000.0,20.395828,0.024867,50.498505,0.011755,20.40298,-0.193106,40.00779,0.087296
1679545921.2457206,561000,0.22,300000.0,20.407904,0.037675,45.941769,0.011755,20.40262,-0.195635,40.00794,0.088705
1679545924.2253358,564000,0.24,300000.0,20.397686,0.063291,45.488991,0.011526,20.40259,-0.196558,40.00794,0.089139
1679545927.1852398,567000,0.26,300000.0,20.394897,0.046067,44.904591,0.011984,20.40252,-0.19704,40.00797,0.089411
1679545930.1647532,570000,0.28,300000.0,20.416265,0.073449,45.460033,0.011984,20.40205,-0.200903,40.00815,0.090953
1679545933.1250916,573000,0.3,300000.0,20.417194,0.051366,45.99968,0.0129,20.40116,-0.20785,40.00844,0.093636
1679545936.2059016,576000,0.32,300000.0,20.399544,0.026634,46.478783,0.012442,20.39812,-0.231511,40.00951,0.102221
