time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679540133.6232963,3000,0.1,50000.0,2.63261,0.023984,19.235765,0.011068,2.626396,-0.007433,20.29814,0.007415
1679540136.1831708,4500,0.11,50000.0,2.633539,0.023984,19.917564,0.011297,2.625438,-0.012607,22.85502,0.002299
1679540138.7428932,6000,0.11,50000.0,2.633539,0.023984,21.307487,0.011984,2.625928,-0.017042,25.98031,0.001455
1679540141.3035417,7500,0.12,50000.0,2.626107,0.024426,21.499655,0.011755,2.625299,-0.017262,30.27744,0.001191
1679540143.8629448,9000,0.12,50000.0,2.634468,0.024867,25.527273,0.012213,2.625181,-0.018012,31.42343,0.000974
1679540146.4224532,10500,0.13,50000.0,2.63261,0.023984,26.161688,0.011297,2.625138,-0.016862,31.97091,0.001021
1679540148.982405,12000,0.13,50000.0,2.636326,0.026192,30.136658,0.011984,2.624655,-0.019439,33.40577,0.000818
1679540151.5422025,13500,0.14,50000.0,2.634468,0.028842,30.542051,0.012213,2.622932,-0.028641,37.05733,0.000833
1679540154.1021328,15000,0.14,50000.0,2.619604,0.0337,31.473932,0.011526,2.621444,-0.038848,40.00148,0.001546
