time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679544195.5915525,289500,0.35,100000.0,20.201668,1.32111,44.378105,0.307342,20.40781,-0.126911,40.00428,0.057267
1679544198.0318377,289500,0.35,100000.0,20.201668,1.32111,44.378105,0.307342,20.40634,-0.139251,40.00503,0.064128
1679544200.4719832,1500,0.1,50000.0,20.393969,0.025751,44.991459,0.011984,20.40552,-0.145628,40.00536,0.067347
1679544202.9122167,3000,0.1,50000.0,20.399544,0.024867,44.962505,0.028927,20.40549,-0.150813,40.00525,0.069708
1679544205.3525822,4500,0.11,50000.0,20.40233,0.152063,43.001343,0.050907,20.40499,-0.157886,40.00557,0.072716
1679544207.7918172,6000,0.11,50000.0,20.392111,0.10039,43.348824,0.046557,20.40409,-0.157929,40.00579,0.072713
1679544210.4918976,7500,0.12,50000.0,20.372602,0.121589,43.451488,0.044038,20.40227,-0.173534,40.00657,0.079034
1679544212.9321382,9000,0.12,50000.0,20.419052,0.129097,43.617332,0.049533,20.39761,-0.212764,40.0084,0.095128
1679544215.372292,10500,0.13,50000.0,20.432058,0.155154,43.388309,0.024577,20.38709,-0.298319,40.01302,0.133763
1679544217.8127682,12000,0.13,50000.0,20.40233,0.13528,44.038521,0.048617,20.38724,-0.36708,40.01288,0.169169
1679544220.252851,13500,0.14,50000.0,20.405117,0.09774,44.744011,0.036025,20.3789,-0.396027,40.01722,0.184669
1679544222.6926575,1500,0.1,50000.0,20.398615,0.025751,45.275764,0.013129,20.37561,-0.395918,40.01901,0.184586
1679544225.1526859,3000,0.1,50000.0,20.400473,0.025751,45.120449,0.014273,20.37407,-0.408518,40.01973,0.191005
