time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679543772.0629826,24000,0.17,50000.0,20.1738,0.191811,41.703556,0.094638,20.17234,-1.022984,40.05008,0.430306
1679543774.5231812,25500,0.18,50000.0,20.186804,0.311057,42.748631,0.103339,20.1616,-1.035724,40.05435,0.478022
1679543777.0632918,27000,0.18,50000.0,20.155218,0.190486,42.243202,0.124403,20.15774,-1.056201,40.05582,0.487171
1679543779.503249,28500,0.19,50000.0,20.194237,0.420586,42.419575,0.262237,20.15259,-1.105602,40.05829,0.508634
1679543781.9837441,30000,0.19,50000.0,20.159864,0.61712,42.556461,0.377862,20.13538,-1.277439,40.06703,0.584493
1679543784.423356,31500,0.2,50000.0,20.204456,0.671001,42.301117,0.210492,20.13527,-1.406461,40.06703,0.644153
1679543786.8632061,33000,0.2,50000.0,20.172871,0.599012,42.595947,0.424341,20.12235,-1.442701,40.07402,0.660688
1679543789.302964,34500,0.21,50000.0,20.146858,0.644061,41.682495,0.243004,20.1187,-1.444135,40.07582,0.661376
1679543791.7433202,36000,0.21,50000.0,20.184017,0.411311,42.177391,0.165845,20.11412,-1.490751,40.07822,0.681692
1679543794.1832066,37500,0.22,50000.0,20.100409,0.376421,41.345547,0.25056,20.09927,-1.638516,40.08585,0.745979
1679543796.624251,39000,0.22,50000.0,20.170082,0.723558,41.974697,0.219193,20.07845,-1.847493,40.09696,0.840615
1679543799.06312,40500,0.23,50000.0,20.095764,0.96514,41.300793,0.384273,20.07827,-1.893977,40.09692,0.861654
1679543801.5032532,42000,0.23,50000.0,20.131065,1.257513,41.94574,0.321996,20.07412,-1.936309,40.09922,0.88009
1679543804.2033324,43500,0.24,50000.0,20.102266,0.875044,41.277103,0.460745,20.06986,-1.936103,40.10144,0.880119
1679543806.6448226,45000,0.24,50000.0,20.091118,1.444772,41.808853,0.276433,20.05251,-2.10887,40.11033,0.954356
1679543809.0834887,46500,0.25,50000.0,20.114344,0.910376,41.295528,0.407627,20.02864,-2.346989,40.12284,1.060813
1679543811.5231943,48000,0.25,50000.0,20.066965,1.376758,41.777264,0.376946,20.02299,-2.404861,40.12581,1.086805
1679543813.9635115,49500,0.26,50000.0,20.132923,1.064512,42.309013,0.45983,20.0232,-2.440975,40.12567,1.102421
1679543816.403643,51000,0.26,50000.0,20.036308,0.911701,41.313957,0.42663,20.0192,-2.596202,40.12775,1.168356
1679543818.843776,52500,0.27,50000.0,20.142214,1.427548,42.287956,0.487076,20.00399,-2.595629,40.13538,1.168171
1679543821.3036163,54000,0.27,50000.0,20.026089,1.179782,41.269203,0.509743,19.97318,-2.902458,40.15129,1.302745
1679543823.8635666,55500,0.28,50000.0,20.120846,1.575942,42.237938,0.556909,19.96545,-2.980904,40.15531,1.337612
1679543826.3057,57000,0.28,50000.0,20.062321,1.355559,41.78516,0.73275,19.96331,-3.013922,40.15653,1.351855
1679543828.7436702,58500,0.29,50000.0,20.066036,1.657647,42.269527,0.572249,19.96248,-3.030471,40.15692,1.318419
1679543831.1842887,60000,0.29,50000.0,20.079971,1.398399,42.051037,0.731834,19.37128,-3.033775,40.15308,1.268871
1679543833.624169,61500,0.3,50000.0,20.017729,1.590075,41.987858,0.605906,18.23771,-3.030943,40.14384,1.239877
1679543836.0638628,63000,0.3,50000.0,20.092047,1.501745,42.527508,0.708022,16.96248,-3.031718,40.13344,1.152754
1679543838.5033922,64500,0.31,50000.0,19.936907,1.606416,41.564037,0.688561,15.8117,-3.032233,40.12431,1.074911
1679543840.9438388,66000,0.31,50000.0,20.087402,1.804717,42.493286,0.800751,15.80941,-3.032575,40.12431,1.021308
1679543843.3837392,67500,0.32,50000.0,19.962917,1.715504,41.311325,0.822731,15.01218,-3.032723,40.11803,0.994914
1679543845.8246963,69000,0.32,50000.0,20.087402,2.008759,42.282688,0.823876,14.62436,-3.032532,40.11502,0.995685
1679543848.263861,70500,0.33,50000.0,19.983356,1.811342,41.640377,0.87585,14.45236,-3.03246,40.11359,0.984179
