Time,Adc,Vdc
1679354411.4584744,73.591121,0.13537
1679354414.3793492,43.992102800000005,2.4508
1679354417.2777038,0.34489519999999996,4.8682
1679354420.1725008,0.34527119999999994,7.2774
1679354423.095301,0.345566,9.6974
1679354425.9766986,0.4046728,12.107
1679354428.8759997,3.7917378,14.525
1679354431.7670655,8.221073800000001,16.934
1679354434.6983001,12.5873368,19.353
1679354437.6211274,16.971330599999998,21.76
1679354440.54366,21.317659,24.181
1679354443.8078024,25.619690600000002,26.599
1679354448.05628,28.92386475,29.006
1679354452.3496304,31.348603999999998,31.424
1679354456.5854757,33.7280885,33.835
1679354460.8886645,36.16258625,36.255
1679354465.127863,38.538329250000004,38.663
1679354469.390853,40.972046,41.081
1679354473.6626956,43.37256225,43.499
1679354477.9110074,45.77328375,45.908
1679354482.1679683,48.203359750000004,48.325
1679354486.4430532,50.61286625,50.738
1679354490.7124546,53.00043375,53.151
1679354494.9541714,55.40063175,55.562
1679354499.2204132,57.8453025,57.978
1679354503.4833145,60.23535925,60.387
1679354507.8127873,62.63043775,62.808
1679354511.987596,65.03784575,65.226
1679354516.2515266,67.47350125,67.632
1679354520.5587196,69.868023,70.051
