time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679540956.3607078,1500,0.4,50000.0,-0.016869,0.025309,0.550776,0.011755,20.43082,0.00445,0.3459578,0.000815
1679540958.9204526,3000,0.4,50000.0,0.009142,0.025751,0.521819,0.012442,20.42907,0.003221,0.3001533,0.000673
1679540961.4809587,4500,0.41,50000.0,0.011,0.023542,0.513922,0.011984,20.42831,0.002634,0.3143371,0.000677
1679540964.0409813,6000,0.41,50000.0,0.014716,0.025751,0.534981,0.011526,20.42771,0.002248,0.353026,0.000681
1679540966.6007736,7500,0.42,50000.0,0.015645,0.026192,0.548143,0.011984,20.42735,0.001974,0.3899532,0.000695
1679540969.1806352,9000,0.42,50000.0,0.023077,0.025309,0.584997,0.011755,20.42721,0.001773,0.3988725,0.000746
1679540971.6209981,10500,0.43,50000.0,0.02029,0.025751,0.58763,0.011755,20.42692,0.001661,0.4039348,0.000749
1679540974.1804457,12000,0.43,50000.0,0.027722,0.025309,0.616586,0.012213,20.4267,0.001538,0.4018769,0.000735
1679540976.7405322,13500,0.44,50000.0,0.026793,0.025751,0.616586,0.013129,20.42656,0.001495,0.3821208,0.000717
1679540979.30046,1500,0.4,50000.0,-0.018727,0.025309,0.608689,0.011984,20.42653,0.001369,0.3008034,0.000681
1679540981.740862,3000,0.4,50000.0,0.006355,0.025309,0.545511,0.012442,20.42635,0.001319,0.2523002,0.000608
1679540984.180744,4500,0.41,50000.0,0.009142,0.025751,0.521819,0.011984,20.42613,0.001279,0.2555128,0.00059
1679540986.6208625,6000,0.41,50000.0,0.014716,0.024867,0.545511,0.011755,20.42613,0.00116,0.2773824,0.000601
1679540989.060426,7500,0.42,50000.0,0.016574,0.025751,0.553408,0.011755,20.42595,0.001175,0.3063352,0.000597
