time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679543888.1244235,1500,0.1,50000.0,20.39304,0.024867,44.751911,0.012213,20.39343,-0.240692,40.03231,0.120468
1679543890.5844133,3000,0.1,50000.0,20.386538,0.088907,42.509079,0.024119,20.38792,-0.259982,40.01421,0.124198
1679543893.0840359,4500,0.11,50000.0,20.365171,0.473584,41.637745,0.076322,20.38509,-0.260108,40.01345,0.123039
1679543895.5452263,6000,0.11,50000.0,20.388395,0.198877,42.485386,0.11181,20.37987,-0.301079,40.015,0.140697
1679543898.1044052,7500,0.12,50000.0,20.391182,0.319448,42.061565,0.072658,20.36806,-0.39803,40.01991,0.185589
1679543900.6643243,9000,0.12,50000.0,20.393969,0.216543,42.569626,0.132188,20.36241,-0.44203,40.02249,0.207034
1679543903.2244718,10500,0.13,50000.0,20.373531,0.147204,41.724613,0.116161,20.36233,-0.468733,40.02234,0.219499
1679543905.684833,12000,0.13,50000.0,20.38468,0.244367,42.256367,0.072429,20.35908,-0.515154,40.0237,0.239949
1679543908.144502,13500,0.14,50000.0,20.34845,0.180328,41.640377,0.111581,20.35289,-0.51554,40.02614,0.240101
1679543910.6046045,15000,0.14,50000.0,20.386538,0.250992,42.090523,0.062813,20.33725,-0.641157,40.03281,0.297632
1679543913.1645956,16500,0.15,50000.0,20.347521,0.409545,42.340603,0.134019,20.32913,-0.709273,40.03664,0.33037
1679543915.7246034,18000,0.15,50000.0,20.34845,0.496108,41.948372,0.130585,20.32609,-0.735629,40.03811,0.342712
1679543918.1683488,19500,0.16,50000.0,20.332657,0.249667,42.964489,0.229038,20.32609,-0.785964,40.03822,0.364907
1679543920.60447,21000,0.16,50000.0,20.334515,0.681159,42.014183,0.124174,20.32011,-0.939472,40.04066,0.434201
1679543923.0448046,22500,0.17,50000.0,20.334515,0.255409,42.767056,0.111352,20.30097,-0.942639,40.04886,0.435733
1679543925.4850395,24000,0.17,50000.0,20.315935,0.293832,41.745674,0.104942,20.28941,-1.03299,40.05402,0.478438
1679543927.9247038,25500,0.18,50000.0,20.328011,0.439577,42.861824,0.11845,20.28537,-1.064725,40.05557,0.493188
1679543930.365033,27000,0.18,50000.0,20.297354,0.141021,43.019772,0.141575,20.27922,-1.113864,40.05825,0.514879
1679543932.8051052,28500,0.19,50000.0,20.332657,0.519957,42.480122,0.22423,20.27914,-1.289027,40.05822,0.59273
1679543935.2458107,30000,0.19,50000.0,20.302,0.469609,42.801277,0.363895,20.25775,-1.413642,40.0675,0.650743
1679543937.685453,31500,0.2,50000.0,20.340088,0.607404,42.277424,0.292689,20.24243,-1.415494,40.0742,0.651688
1679543940.124952,33000,0.2,50000.0,20.314075,0.54204,42.516975,0.398697,20.23782,-1.452184,40.07628,0.668505
1679543942.5652785,34500,0.21,50000.0,20.283419,0.603429,41.685127,0.22423,20.23191,-1.499114,40.07872,0.68911
1679543945.0050316,36000,0.21,50000.0,20.315935,0.551756,42.443268,0.225603,20.22934,-1.653281,40.08008,0.756356
1679543947.4452627,37500,0.22,50000.0,20.231396,0.434719,41.292896,0.2572,20.21338,-1.857243,40.0866,0.849315
1679543949.8858414,39000,0.22,50000.0,20.303858,0.721349,42.116848,0.201563,20.1884,-1.861499,40.09753,0.851317
1679543952.325313,40500,0.23,50000.0,20.223036,0.916117,41.548241,0.377633,20.18311,-1.897241,40.09986,0.867559
1679543954.765133,42000,0.23,50000.0,20.256479,1.290195,41.974697,0.306884,20.17767,-1.944412,40.10209,0.888168
1679543957.2051306,43500,0.24,50000.0,20.235111,0.840153,41.66407,0.502874,20.15563,-2.143723,40.1113,0.974461
1679543959.6451101,45000,0.24,50000.0,20.21839,1.318019,41.8694,0.360461,20.15513,-2.359081,40.11133,1.0712
1679543962.0876071,46500,0.25,50000.0,20.243473,0.856053,41.753571,0.455479,20.12668,-2.413534,40.12362,1.095773
1679543964.5253549,48000,0.25,50000.0,20.195166,1.333918,41.787792,0.339855,20.11992,-2.413638,40.1266,1.095882
1679543966.965376,49500,0.26,50000.0,20.259266,1.069811,42.36956,0.464638,20.11545,-2.450901,40.12846,1.112004
1679543969.4053512,51000,0.26,50000.0,20.159864,0.87416,41.282368,0.403734,20.09559,-2.614527,40.1366,1.181705
1679543971.8453074,52500,0.27,50000.0,20.26391,1.450072,42.372192,0.520733,20.08589,-2.91646,40.14172,1.314559
1679543974.2857952,54000,0.27,50000.0,20.147787,1.1471,41.564037,0.51707,20.05863,-2.985098,40.15248,1.34524
1679543976.72553,55500,0.28,50000.0,20.242544,1.579034,42.280056,0.500584,20.05008,-2.994952,40.15613,1.349466
1679543979.1655073,57000,0.28,50000.0,20.181231,1.366158,41.979961,0.71512,20.02703,-3.02044,40.15764,1.358912
1679543981.6054547,58500,0.29,50000.0,20.204456,1.572851,42.348499,0.592397,19.97079,-3.142126,40.16323,1.407171
1679543984.045671,60000,0.29,50000.0,20.203526,1.412532,42.411678,0.781289,19.93379,-3.514045,40.18208,1.566934
1679543986.5850992,61500,0.3,50000.0,20.124563,1.652348,42.014183,0.642082,19.93368,-3.623553,40.18215,1.615099
1679543989.1456873,63000,0.3,50000.0,20.214674,1.527802,42.635437,0.737329,19.92288,-3.654326,40.18771,1.628401
1679543991.707296,64500,0.31,50000.0,20.049314,1.635123,41.719349,0.721531,19.91958,-3.656517,40.18943,1.629317
1679543994.1457908,66000,0.31,50000.0,20.203526,1.84314,42.569626,0.766178,19.91021,-3.74913,40.19408,1.6678
1679543996.7256362,67500,0.32,50000.0,20.069752,1.716828,41.598259,0.814489,19.86888,-4.162167,40.21458,1.841734
1679543999.2856584,69000,0.32,50000.0,20.196095,2.001251,42.485386,0.801896,19.85185,-4.328437,40.22322,1.913784
1679544001.7252312,70500,0.33,50000.0,20.08926,1.857715,41.903622,0.840132,19.84956,-4.363765,40.22419,1.928814
1679544004.1664407,72000,0.33,50000.0,20.032593,1.95267,42.385353,0.724049,19.84749,-4.426202,40.22498,1.954498
1679544006.6060057,73500,0.34,50000.0,20.076254,2.061316,41.9589,1.094507,19.8413,-4.662905,40.22799,2.051606
1679544009.0455666,75000,0.34,50000.0,19.999149,2.135954,41.440311,0.70848,19.80179,-4.81895,40.24716,2.116343
1679544011.4866514,76500,0.35,50000.0,20.073467,2.231792,42.145805,1.135033,19.77306,-5.100987,40.26146,2.236142
1679544013.9259562,78000,0.35,50000.0,19.940622,2.122705,41.461372,0.857304,19.76884,-5.136358,40.26343,2.25125
1679544016.366118,79500,0.36,50000.0,20.10784,2.585554,42.419575,0.988269,19.7687,-5.182474,40.26343,2.270063
1679544018.8058968,81000,0.36,50000.0,19.962917,2.251225,41.300793,0.984148,19.76401,-5.463076,40.26555,2.383127
1679544021.245821,82500,0.37,50000.0,20.069752,2.613378,42.830235,0.990788,19.73538,-5.463227,40.27906,2.383203
1679544023.6860523,84000,0.37,50000.0,19.980568,2.322331,41.637745,1.042762,19.68808,-5.932054,40.30218,2.577453
1679544026.126141,85500,0.38,50000.0,19.981499,2.706125,42.135273,1.050317,19.68093,-6.000357,40.30565,2.606117
1679544028.566245,87000,0.38,50000.0,19.959202,2.529023,41.879929,1.190899,19.67892,-6.018628,40.30648,2.613536
1679544031.0063245,88500,0.39,50000.0,19.885813,2.862027,41.635113,1.059705,19.67821,-6.070426,40.30666,2.596917
1679544033.5864928,90000,0.39,50000.0,20.045599,2.729532,42.377457,1.290038,19.40813,-6.452544,40.30468,2.746597
1679544036.0461798,91500,0.4,50000.0,19.826357,2.890734,41.163906,1.21036,19.3438,-6.569842,40.32805,2.79294
1679544038.6066887,93000,0.4,50000.0,20.047457,3.14115,42.422207,1.290267,19.30362,-6.879554,40.34293,2.916682
1679544041.1665697,94500,0.41,50000.0,19.791985,2.804612,41.224453,1.227304,19.30115,-6.899017,40.34386,2.924622
1679544043.6302025,96000,0.41,50000.0,20.001007,3.178248,42.543301,1.267371,19.29582,-6.934389,40.34565,2.938159
1679544046.0668187,97500,0.42,50000.0,19.847723,2.995847,41.74041,1.452142,19.296,-7.317084,40.34547,3.083671
1679544048.6467412,99000,0.42,50000.0,19.909966,3.222855,42.453796,1.309042,19.2459,-7.855157,40.3631,3.293316
1679544051.2068665,100500,0.43,50000.0,19.848652,3.1438,41.795689,1.598448,19.17549,-7.85737,40.38866,3.294347
1679544053.6682613,102000,0.43,50000.0,19.800344,3.592516,41.669334,1.362619,19.16794,-7.913804,40.39134,3.316353
1679544056.1271539,103500,0.44,50000.0,19.869089,3.672455,41.932575,1.693237,19.1679,-7.91072,40.39116,3.315162
1679544058.6673186,105000,0.44,50000.0,19.669357,3.431314,41.087566,1.495187,19.16593,-7.920751,40.39177,3.318649
1679544061.1275218,106500,0.45,50000.0,19.888599,3.767851,42.187923,1.674691,19.16576,-9.095377,40.3917,3.765016
1679544063.5876656,108000,0.45,50000.0,19.698156,3.478129,41.303425,1.554029,18.94721,-9.096397,40.44607,3.594898
1679544066.047811,109500,0.46,50000.0,19.888599,3.720153,42.509079,1.640118,18.08643,-9.095752,40.42539,3.595289
