time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679545313.495038,453000,0.18,150000.0,20.371674,0.026192,46.707806,0.031216,20.40051,-0.23707,40.01091,0.111978
1679545315.9351451,1500,0.1,50000.0,20.406046,0.088465,41.440311,0.050449,20.39747,-0.256437,40.0117,0.120468
1679545318.4153085,3000,0.1,50000.0,20.409761,0.149854,42.551197,0.044038,20.39103,-0.305208,40.0141,0.141855
1679545320.975519,4500,0.11,50000.0,20.398615,0.342414,41.558773,0.065331,20.39107,-0.39937,40.0141,0.186139
1679545323.435335,6000,0.11,50000.0,20.406975,0.176795,42.548565,0.155771,20.37933,-0.439566,40.0193,0.205795
1679545325.995959,7500,0.12,50000.0,20.386538,0.284116,42.516975,0.085709,20.37429,-0.441843,40.02152,0.2069
1679545328.5554814,9000,0.12,50000.0,20.400473,0.152063,42.561729,0.124632,20.37132,-0.46358,40.02277,0.216864
1679545331.1152937,10500,0.13,50000.0,20.380035,0.130422,42.438004,0.091433,20.36466,-0.517684,40.02553,0.240723
1679545333.575576,12000,0.13,50000.0,20.372602,0.189161,41.922047,0.126464,20.34892,-0.645365,40.03252,0.299797
1679545336.135696,13500,0.14,50000.0,20.369816,0.146763,42.617008,0.122343,20.34326,-0.701606,40.03539,0.326803
