time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679539488.1277614,7500,0.12,50000.0,2.63261,0.024426,21.460169,0.011068,3.3613e-07,2.62645,3.5071e-07,32.08452
1679539490.6678963,9000,0.12,50000.0,2.631681,0.024867,25.274559,0.011984,3.2816e-07,2.624812,1.9469e-07,37.72877
1679539493.2273788,10500,0.13,50000.0,2.633539,0.023984,25.70891,0.011984,3.2002e-07,2.623135,1.6507e-07,40.0012
1679539495.6878638,12000,0.13,50000.0,2.635397,0.029726,29.878679,0.011297,3.1184e-07,2.622074,1.4705e-07,40.00098
1679539498.1478167,13500,0.14,50000.0,2.635397,0.024426,30.394636,0.012213,3.0664e-07,2.62207,1.2751e-07,40.00088
1679539500.6080747,15000,0.14,50000.0,2.630752,0.026634,31.542376,0.012213,3.0451e-07,2.621484,1.1829e-07,40.00062
1679539503.0680268,16500,0.15,50000.0,2.63261,0.046508,31.616083,0.012442,3.0518e-07,2.620747,1.119e-07,40.0007
1679539505.5279508,18000,0.15,50000.0,2.643758,0.03105,32.171524,0.011526,2.9853e-07,2.618888,1.0431e-07,40.00077
1679539507.9883611,19500,0.16,50000.0,2.633539,0.026634,32.174156,0.011755,2.9934e-07,2.615459,9.636e-08,40.00077
1679539510.4484057,21000,0.16,50000.0,2.636326,0.031934,33.693069,0.011984,2.9828e-07,2.614011,9.757e-08,40.0008
1679539512.9085639,22500,0.17,50000.0,2.635397,0.031934,33.795734,0.012442,2.9485e-07,2.61174,9.047e-08,40.00088
1679539515.368167,24000,0.17,50000.0,2.624249,0.044742,38.707851,0.011984,2.9906e-07,2.609012,9.25e-08,40.00088
1679539517.828598,25500,0.18,50000.0,2.635397,0.041208,39.513374,0.011526,2.9456e-07,2.607765,8.824e-08,40.00088
1679539520.288696,27000,0.18,50000.0,2.631681,0.068149,39.458092,0.012442,2.9867e-07,2.607196,8.671e-08,40.00098
1679539522.7487416,28500,0.19,50000.0,2.631681,0.046067,39.952988,0.011526,3.0033e-07,2.606216,8.572e-08,40.00102
1679539525.2087908,30000,0.19,50000.0,2.627965,0.068149,39.71344,0.011526,2.9881e-07,2.606152,8.377e-08,40.00098
1679539527.6694067,31500,0.2,50000.0,2.621462,0.064616,39.979313,0.011755,3.0118e-07,2.603463,8.444e-08,40.00102
1679539530.1319265,33000,0.2,50000.0,2.631681,0.048716,39.781883,0.011526,3.0175e-07,2.598872,7.856e-08,40.0012
1679539532.5886972,34500,0.21,50000.0,2.63261,0.056666,39.874016,0.011984,2.9562e-07,2.594264,7.994e-08,40.00148
1679539535.0492346,36000,0.21,50000.0,2.630752,0.063291,39.871384,0.011526,2.9732e-07,2.591357,7.565e-08,40.00148
1679539537.5090568,37500,0.22,50000.0,2.625178,0.059758,39.666054,0.012213,3.0058e-07,2.590245,6.777e-08,40.00156
1679539539.968993,39000,0.22,50000.0,2.627036,0.071682,39.942459,0.012213,2.9541e-07,2.589884,7.88e-08,40.00159
