Time,Adc,Vdc
1679352811.8522494,951.1288695999999,4.2596
1679352814.7370133,1270.4444826000001,4.7245
1679352817.663518,1593.727124,5.198
1679352820.5481598,1915.396704,5.6634
1679352823.683823,2239.3958494,6.1366
1679352827.9364984,2490.245178,6.6105
1679352832.222988,2664.85424775,7.0765
1679352836.4863975,2843.3729857499998,7.5495
1679352840.790525,3019.0104982499997,8.0147
1679352845.01502,3195.52478025,8.4868
1679352849.334451,3373.2043455,8.9527
1679352853.516859,3548.360718,9.4248
1679352857.9490223,3730.5391235000006,9.8991
1679352862.0742035,3902.35382075,10.364
1679352866.3169072,4086.9243165,10.839
1679352870.617822,4262.65979,11.305
1679352874.8603475,4440.46057125,11.779
1679352879.159204,4619.551513750001,12.252
1679352883.3895109,4793.548462000001,12.716
1679352887.6685727,4973.4645995,13.19
1679352891.9186006,5148.341797,13.655
1679352896.190608,5326.772827000001,14.128
1679352900.4485786,5504.664917,14.594
1679352904.729533,5683.743652249999,15.067
1679352908.9994786,5860.478881999999,15.541
1679352913.2622323,6036.74975575,16.006
1679352917.533451,6214.2973635,16.48
1679352921.759778,6389.674316500001,16.943
1679352926.0602214,6568.897339,17.417
1679352930.3188453,6743.4847414999995,17.883
1679352934.5804312,6923.5272217500005,18.356
1679352938.8335338,7104.76513675,18.829
1679352943.102035,7280.2568357499995,19.294
1679352947.370188,7459.47595225,19.769
1679352951.6781108,7634.1170655,20.233
1679352955.8663874,7811.6015625,20.707
1679352960.1769757,7992.47399925,21.181
1679352964.4195428,8171.3946535,21.643
1679352968.679752,8346.915039,22.117
1679352972.9366198,8524.919922000001,22.584
1679352977.22852,8705.04907225,23.056
1679352981.421891,8877.9282225,23.521
1679352985.7282088,9061.67602525,23.997
1679352989.9977753,9238.0966795,24.47
1679352994.2864845,9413.5895995,24.934
1679352998.5290346,9590.01171875,25.408
1679353002.8314507,9766.050537,25.873
1679353007.0589504,9941.99853525,26.347
1679353011.366758,10121.4052735,26.811
1679353015.6102197,10298.14282225,27.283
1679353019.8755126,10481.307128749999,27.757
1679353024.1490479,10654.382568250001,28.222
1679353028.4237714,10836.138672000001,28.695
1679353032.6854517,11010.00903325,29.159
1679353036.932273,11189.459228750002,29.635
1679353041.1935754,11368.84619125,30.098
1679353045.4532373,11544.8984375,30.572
1679353049.7406936,11728.438720999999,31.046
1679353053.9833994,11901.64990225,31.511
1679353058.2913032,12085.272461,31.985
1679353062.4844685,12254.838379,32.45
1679353066.7921634,12438.893310750002,32.925
1679353071.0419178,12620.0686035,33.397
1679353075.2875268,12792.294433750001,33.863
1679353079.57121,12974.878417999998,34.334
1679353083.8550093,13146.21411125,34.801
1679353088.122939,13330.916748,35.275
1679353092.4152586,13501.410400249999,35.739
1679353096.6561546,13683.784667750002,36.214
1679353100.9338157,13864.96655275,36.688
1679353105.1952305,14037.790771250002,37.153
1679353109.462932,14220.85107425,37.625
1679353113.7234375,14391.70483425,38.091
1679353117.9829593,14576.11401375,38.563
1679353122.2999878,14746.92407225,39.027
1679353126.4934697,14929.81542975,39.501
1679353130.7933767,15110.207031500002,39.975
1679353135.0502982,15285.413574,40.439
1679353139.3221872,15468.566894249998,40.914
1679353143.5771258,15638.248535,41.38
1679353147.8637502,15824.216797000001,41.853
1679353152.0599039,15995.759765750001,42.327
1679353156.3574386,16181.3256835,42.792
1679353160.6657002,16350.400879,43.265
1679353164.9139912,16533.09130875,43.73
1679353169.2030838,16718.832031500002,44.203
1679353173.4503176,16886.7783205,44.668
1679353177.7248223,17072.50488275,45.142
1679353181.9634135,17243.904785,45.615
1679353186.2396412,17428.446289,46.08
1679353190.5017865,17601.31103525,46.552
1679353194.809849,17782.16210975,47.018
1679353199.0307178,17961.89892575,47.491
1679353203.30948,18135.1118165,47.955
1679353207.559997,18319.08105475,48.431
1679353211.812023,18492.888672,48.903
1679353216.0892942,18677.7441405,49.369
1679353220.40129,18850.85009775,49.842
1679353224.6407316,19027.654296999997,50.31
1679353228.9338663,19210.6132815,50.784
1679353233.1758204,19382.367187249998,51.257
1679353237.450417,19568.1621095,51.722
1679353241.713613,19740.27050775,52.195
1679353245.979965,19918.80322275,52.659
1679353250.24295,20091.053711,53.133
1679353254.510478,20276.48730475,53.6
1679353258.8183904,20448.91259775,54.071
1679353263.0112534,20630.38769525,54.544
1679353267.3054125,20811.21972675,55.008
1679353271.5730455,20984.17529275,55.482
1679353275.8334477,21168.9853515,55.945
1679353280.1146793,21343.145508,56.419
1679353284.3639584,21518.65820325,56.884
1679353288.6534333,21693.8740235,57.356
1679353292.8897007,21877.73681625,57.83
1679353297.1744978,22058.43359375,58.298
1679353301.4679694,22235.98291,58.772
