Time,Adc,Vdc
1679353305.691217,22408.97949225,59.236
1679353309.9938405,22585.68994125,59.709
1679353314.243226,22769.239746,60.172
1679353318.5144675,22945.35009775,60.645
1679353322.7747717,23118.78173825,61.119
1679353327.0408695,23293.063965,61.587
1679353331.3050902,23478.40771475,62.06
1679353335.60999,23662.41992175,62.523
1679353339.8330507,23837.93212875,62.997
1679353344.1120489,24011.65234375,63.47
1679353348.359933,24185.66699225,63.935
1679353352.6744714,24374.152832,64.408
1679353356.8427148,24546.3413085,64.872
1679353361.1356344,24731.99169925,65.346
1679353365.4400053,24904.937987999998,65.811
1679353369.7359445,25079.95605475,66.284
1679353373.9772077,25266.365723000003,66.755
1679353378.2539983,25442.95507825,67.219
1679353382.462971,25611.02783225,67.693
1679353386.783472,25788.72998025,68.16
1679353391.0240123,25973.542969000002,68.636
1679353395.283795,26151.83447275,69.099
1679353399.6166723,26332.6342775,69.572
1679353403.8415723,26501.918457,70.045
