time,millis,duty,freq,v_pa,i_pa,v_ba,i_ba,meter_v_pa,meter_i_pa,meter_v_ba,meter_i_ba
1679539254.8199594,153000,0.6,50000.0,-0.001077,0.024867,0.927213,0.011755,3.3064e-07,2.630819,-3.3473e-07,-2.701888
1679539257.2801728,156000,0.61,50000.0,0.003568,0.024867,0.816651,0.011755,3.2083e-07,2.630837,-3.0656e-07,-2.481418
1679539259.7400439,159000,0.62,50000.0,0.011,0.025751,0.719251,0.011984,3.0787e-07,2.630819,-2.5856e-07,-2.309534
1679539262.2003362,162000,0.63,50000.0,0.018432,0.025751,0.632381,0.011526,3.0908e-07,2.630819,-2.3036e-07,-2.140506
